module code,title,skill
ABM5001,Leadership in Biomedicine,leadership
ABM5001,Leadership in Biomedicine,biomedicine
ABM5002,Advanced Biostatistics for Research,medical research
ABM5002,Advanced Biostatistics for Research,statistical method
ABM5002,Advanced Biostatistics for Research,biostatistics
ABM5002,Advanced Biostatistics for Research,researchers
ABM5002,Advanced Biostatistics for Research,healthcare professionals
ABM5002,Advanced Biostatistics for Research,communicate
ABM5002,Advanced Biostatistics for Research,investigate
ABM5002,Advanced Biostatistics for Research,sampling
ABM5002,Advanced Biostatistics for Research,stata
ABM5002,Advanced Biostatistics for Research,r
ABM5002,Advanced Biostatistics for Research,spss
ABM5002,Advanced Biostatistics for Research,illustrated
ABM5003,Biomedical Innovation & Enterprise,research and development
ABM5003,Biomedical Innovation & Enterprise,furnish
ABM5003,Biomedical Innovation & Enterprise,stage
ABM5003,Biomedical Innovation & Enterprise,commercialization
ABM5003,Biomedical Innovation & Enterprise,innovation
ABM5003,Biomedical Innovation & Enterprise,lecturers
ABM5004,Capstone Project,reach
ABM5004,Capstone Project,research
ABM5004,Capstone Project,track
ABM5004,Capstone Project,msc
ABM5004,Capstone Project,investigator
ABM5004,Capstone Project,program generate
ABM5101,Applied Immunology,immune system
ABM5101,Applied Immunology,immunological
ABM5101,Applied Immunology,related industries
ABM5101,Applied Immunology,immunology
ABM5101,Applied Immunology,innovations
ABM5101,Applied Immunology,experimental
ABM5101,Applied Immunology,research
ABM5101,Applied Immunology,translated
ABM5101,Applied Immunology,interactive
ABM5102,Vaccine development and its modern applications,infectious disease
ABM5102,Vaccine development and its modern applications,vaccines
ABM5102,Vaccine development and its modern applications,immunization
ABM5102,Vaccine development and its modern applications,vaccine
ABM5102,Vaccine development and its modern applications,innovations
ABM5102,Vaccine development and its modern applications,new developments
ABM5102,Vaccine development and its modern applications,immunological
ABM5102,Vaccine development and its modern applications,evidence based
ABM5102,Vaccine development and its modern applications,based learning
ABM5103,Advanced technologies in immune therapeutic development,immune system
ABM5103,Advanced technologies in immune therapeutic development,system analysis
ABM5103,Advanced technologies in immune therapeutic development,gene therapy
ABM5103,Advanced technologies in immune therapeutic development,edge technologies
ABM5103,Advanced technologies in immune therapeutic development,immunology
ABM5103,Advanced technologies in immune therapeutic development,research
ABM5103,Advanced technologies in immune therapeutic development,advanced technologies
ABM5103,Advanced technologies in immune therapeutic development,nanotechnology
ABM5103,Advanced technologies in immune therapeutic development,phenotypes
ABM5103,Advanced technologies in immune therapeutic development,targeting
ABM5103,Advanced technologies in immune therapeutic development,e
ABM5103,Advanced technologies in immune therapeutic development,antibodies
ABM5103,Advanced technologies in immune therapeutic development,cytokines
ABM5103,Advanced technologies in immune therapeutic development,chemotherapy
ABM5104,Microbiome-Aging-Immunity crosstalk,modulate
ABM5104,Microbiome-Aging-Immunity crosstalk,immunotherapy
ABM5104,Microbiome-Aging-Immunity crosstalk,immunization
ABM5104,Microbiome-Aging-Immunity crosstalk,targeted
ABM5104,Microbiome-Aging-Immunity crosstalk,analytics
ABM5105,Drugs used in Infectious Diseases,infectious disease
ABM5105,Drugs used in Infectious Diseases,pharmacology
ABM5105,Drugs used in Infectious Diseases,antimicrobial
ABM5105,Drugs used in Infectious Diseases,management
ABM5106,Anticancer Therapeutics,drug development
ABM5106,Anticancer Therapeutics,management
ABM5106,Anticancer Therapeutics,cancers
ABM5106,Anticancer Therapeutics,oncology
ABM5106,Anticancer Therapeutics,integrated
ABM5107,"One World, One Health: Ecosystems, Animals and Us",infectious disease
ABM5107,"One World, One Health: Ecosystems, Animals and Us",food safety
ABM5107,"One World, One Health: Ecosystems, Animals and Us",interconnected
ABM5107,"One World, One Health: Ecosystems, Animals and Us",collaborative
ABM5107,"One World, One Health: Ecosystems, Animals and Us",climate change
ABM5107,"One World, One Health: Ecosystems, Animals and Us",epidemiology
ABM5107,"One World, One Health: Ecosystems, Animals and Us",antimicrobial
AC5001,Architectural History of Singapore,build environment
AC5001,Architectural History of Singapore,settlement
AC5001,Architectural History of Singapore,consulting
AC5001,Architectural History of Singapore,consult
AC5001,Architectural History of Singapore,professional
AC5001,Architectural History of Singapore,social
AC5001,Architectural History of Singapore,landscape
AC5002,Conservation Approaches and Philosophies,impact assessment
AC5002,Conservation Approaches and Philosophies,urban
AC5002,Conservation Approaches and Philosophies,landscape
AC5002,Conservation Approaches and Philosophies,management plan
AC5002,Conservation Approaches and Philosophies,conservation plan
AC5003,Urban Conservation and Regeneration,debates
AC5003,Urban Conservation and Regeneration,urban
AC5003,Urban Conservation and Regeneration,investigate
AC5003,Urban Conservation and Regeneration,social
AC5003,Urban Conservation and Regeneration,economic
AC5003,Urban Conservation and Regeneration,government policy
AC5004,Architectural Heritage Management,risk factor
AC5004,Architectural Heritage Management,risk mitigation
AC5004,Architectural Heritage Management,risk management
AC5004,Architectural Heritage Management,urban planning
AC5004,Architectural Heritage Management,management
AC5004,Architectural Heritage Management,climate change
AC5004,Architectural Heritage Management,preparedness
AC5004,Architectural Heritage Management,creatively
AC5004,Architectural Heritage Management,debates
AC5005,Conservation Policy Methodology for Sustainable Development,land development
