major,degree_faculty,n_modules_total,n_modules_matched,top_k_mean_sim,top_k_max_sim,overall_mean_sim
Finance,NUS Business School,45,43,0.768017590045929,0.7978515625,0.5538538098335266
Infrastructure and Project Management,College of Design and Engineering,43,42,0.7582031488418579,0.8154296875,0.5418700575828552
Business Artificial Intelligence Systems,School of Computing,50,50,0.751513659954071,0.796875,0.5533931851387024
Computer Science,School of Computing,87,87,0.746874988079071,0.7802734375,0.5315210223197937
Computer Engineering,College of Design and Engineering,72,71,0.742724597454071,0.76611328125,0.5305726528167725
Law,Faculty of Law,189,171,0.7398926019668579,0.77978515625,0.5695748329162598
Food Science and Technology,Faculty of Science,15,15,0.739794909954071,0.78662109375,0.5253239870071411
Marketing,NUS Business School,42,38,0.7376953363418579,0.76025390625,0.5721659064292908
Leadership & Human Capital Management,NUS Business School,32,32,0.7357422113418579,0.75390625,0.5689215064048767
Civil Engineering,College of Design and Engineering,28,27,0.7342284917831421,0.759765625,0.5283756852149963
Mechanical Engineering,College of Design and Engineering,48,46,0.7339843511581421,0.7509765625,0.529153048992157
Materials Science and Engineering,College of Design and Engineering,48,47,0.732714831829071,0.76953125,0.5241286158561707
Business Analytics,School of Computing,47,47,0.729199230670929,0.76318359375,0.5558936595916748
Communications and New Media,Faculty of Arts and Social Sciences,50,49,0.7261718511581421,0.77197265625,0.5524899959564209
Operations and Supply Chain Management,NUS Business School,31,31,0.720996081829071,0.736328125,0.5581027269363403
Accountancy,NUS Business School,32,32,0.720166027545929,0.748046875,0.5580018758773804
Social Work,Faculty of Arts and Social Sciences,51,49,0.714306652545929,0.7275390625,0.556974470615387
Artificial Intelligence,School of Computing,25,25,0.7139648199081421,0.74951171875,0.5161932706832886
Landscape Architecture,College of Design and Engineering,19,18,0.713085949420929,0.81298828125,0.520480751991272
Industrial & Systems Engineering,College of Design and Engineering,40,40,0.7125488519668579,0.7216796875,0.5451421737670898
Chemical Engineering,College of Design and Engineering,21,16,0.711181640625,0.7353515625,0.5081154704093933
Theatre and Performance Studies,Faculty of Arts and Social Sciences,20,20,0.7105957269668579,0.71142578125,0.5489190220832825
Environmental and Sustainability Engineering,College of Design and Engineering,25,24,0.7091308832168579,0.75,0.527197539806366
Information Security,School of Computing,27,27,0.70849609375,0.72607421875,0.517454981803894
Business Economics,NUS Business School,33,33,0.707763671875,0.7431640625,0.5547364354133606
Applied Business Analytics,NUS Business School,35,35,0.7047363519668579,0.7412109375,0.5444595813751221
Chemistry,Faculty of Science,47,47,0.7046874761581421,0.740234375,0.49595949053764343
Biomedical Engineering,College of Design and Engineering,60,59,0.70458984375,0.73291015625,0.5195275545120239
Engineering Science,College of Design and Engineering,19,18,0.701123058795929,0.72607421875,0.5052865743637085
Physics,Faculty of Science,45,43,0.6998535394668579,0.732421875,0.49458056688308716
Architecture,College of Design and Engineering,21,17,0.69970703125,0.72021484375,0.5048571825027466
Quantitative Finance,Faculty of Science,29,20,0.6996093988418579,0.73193359375,0.5040939450263977
Innovation & Entrepreneurship,NUS Business School,26,26,0.6983398199081421,0.7099609375,0.5620376467704773
Pharmaceutical Science,Faculty of Science,19,19,0.693603515625,0.71484375,0.5377657413482666
Real Estate,NUS Business School,16,14,0.6929687261581421,0.7109375,0.5260583162307739
Life Sciences,Faculty of Science,77,73,0.6900390386581421,0.73486328125,0.5041312575340271
Pharmacy,Faculty of Science,22,22,0.687548816204071,0.7060546875,0.5245974659919739
Statistics,Faculty of Science,38,37,0.687548816204071,0.70751953125,0.5023489594459534
Industrial Design,College of Design and Engineering,21,21,0.684277355670929,0.71484375,0.5219067335128784
Psychology,Faculty of Arts and Social Sciences,178,171,0.68212890625,0.70654296875,0.5327612161636353
English Language and Linguistics,Faculty of Arts and Social Sciences,20,20,0.680224597454071,0.70654296875,0.5057234764099121
Data Science and Analytics,Faculty of Science,46,46,0.679248034954071,0.712890625,0.4967682659626007
Electrical Engineering,College of Design and Engineering,17,16,0.677685558795929,0.6806640625,0.496829092502594
English Literature,Faculty of Arts and Social Sciences,27,27,0.67431640625,0.70654296875,0.5084607005119324
Nursing,Yong Loo Lin School of Medicine,11,9,0.671630859375,0.6875,0.503879725933075
Mathematics,Faculty of Science,75,74,0.6690918207168579,0.6982421875,0.5146444439888
Philosophy,Faculty of Arts and Social Sciences,61,57,0.6675781011581421,0.689453125,0.5051701664924622
Sociology,Faculty of Arts and Social Sciences,36,36,0.665234386920929,0.69189453125,0.524066686630249
History,Faculty of Arts and Social Sciences,92,85,0.663818359375,0.69921875,0.5222277045249939
Global Studies,Faculty of Arts and Social Sciences,44,42,0.663037121295929,0.685546875,0.5213952660560608
Economics,Faculty of Arts and Social Sciences,58,58,0.661376953125,0.67578125,0.5332275032997131
Geography,Faculty of Arts and Social Sciences,39,27,0.658984363079071,0.6728515625,0.5343542098999023
Political Science,Faculty of Arts and Social Sciences,30,30,0.6499999761581421,0.6806640625,0.5077676773071289
Anthropology,Faculty of Arts and Social Sciences,27,27,0.6290038824081421,0.640625,0.5084702968597412
"Philosophy, Politics and Economics",College of Humanities and Sciences,30,30,0.621142566204071,0.66650390625,0.49494507908821106
