module_department,mean_top1_sim,median_top1_sim,n_modules,mean_breadth,median_breadth
EngrgDesignandInnovationCentre,0.69287109375,0.69287109375,1,80.0,80.0
Finance,0.6905247511061947,0.685546875,113,55.3716814159292,56.0
Duke-NUS Dean's Office,0.6901041666666666,0.6904296875,3,62.666666666666664,76.0
NUS-ISS,0.6881184895833333,0.677734375,15,66.2,66.0
Materials Science and Engineering,0.6871490478515625,0.691650390625,64,39.390625,35.5
Chemical and Biomolecular Engineering,0.6797223772321429,0.682373046875,70,58.72857142857143,58.5
Accounting,0.678955078125,0.6787109375,66,64.60606060606061,60.5
Civil and Environmental Engineering,0.6749399943524096,0.6708984375,83,46.493975903614455,42.0
Food Science and Technology,0.6740635463169643,0.671142578125,56,62.392857142857146,61.0
Built Environment,0.6732947716346154,0.66650390625,65,55.12307692307692,52.0
Information Systems and Analytics,0.6715846706081081,0.67333984375,74,41.37837837837838,38.5
Marketing,0.6715087890625,0.666015625,112,63.151785714285715,61.5
Office of Student Affairs,0.670166015625,0.670166015625,2,103.5,103.5
Electrical and Computer Engineering,0.6695963541666666,0.66455078125,129,32.627906976744185,31.0
Industrial Design,0.6693294270833333,0.6611328125,75,53.093333333333334,52.0
Analytics and Operations,0.6692899816176471,0.66552734375,85,57.36470588235294,57.0
Real Estate,0.6650124289772728,0.66357421875,55,52.54545454545455,53.0
Acacia College,0.664306640625,0.664794921875,10,44.1,34.0
Risk Management Institute,0.6640625,0.6640625,1,47.0,47.0
Social Work,0.6626027425130209,0.66064453125,96,56.197916666666664,51.0
SCALE Dean's Office,0.6622793222402598,0.6640625,385,42.97922077922078,40.0
Mechanical Engineering,0.6621675037202381,0.65966796875,84,39.357142857142854,38.5
Architecture,0.661980242768595,0.66357421875,121,44.68595041322314,42.0
Pathology,0.65966796875,0.65966796875,1,20.0,20.0
Industrial Systems Engineering and Management,0.6591099330357143,0.657958984375,56,51.69642857142857,51.0
Alice Lee Center for Nursing Studies,0.6583089192708333,0.6591796875,60,54.81666666666667,52.5
Ridge View Residential College,0.6551036005434783,0.65478515625,23,55.95652173913044,57.0
Chua Thian Poh Comm Leader Center,0.6550455729166667,0.64697265625,15,63.733333333333334,63.0
Biomedical Engineering,0.6547757662259616,0.652099609375,52,36.76923076923077,33.0
NUS Enterprise Academy,0.6546469634433962,0.65234375,53,59.943396226415096,59.0
PharmacyandPharmaceuticalScience,0.6545611740252294,0.6552734375,109,52.31192660550459,49.0
CDE Dean's Office,0.6533455684267241,0.646728515625,58,55.241379310344826,50.5
Engineering Science Programme,0.6524367559523809,0.64306640625,21,60.523809523809526,59.0
Centre for Future-ready Grads,0.6520647321428571,0.6455078125,7,67.0,56.0
NUS Libraries,0.65185546875,0.65185546875,1,54.0,54.0
NUS Medicine Dean's Office,0.6516810825892857,0.6513671875,28,61.25,62.0
Management and Organisation,0.6506178449876238,0.6435546875,101,66.35643564356435,63.0
Communications and New Media,0.649365234375,0.64306640625,120,44.425,43.0
Chemistry,0.6490951849489796,0.6484375,98,34.63265306122449,33.5
SoC Dean's Office,0.64794921875,0.64599609375,18,55.55555555555556,52.0
SSH School of Public Health Dean's Office,0.64697265625,0.64013671875,33,43.78787878787879,46.0
Computer Science,0.6462850175665681,0.64111328125,169,35.20710059171598,33.0
College of Alice and Peter Tan,0.6448993389423077,0.642578125,65,62.38461538461539,65.0
Computing and Engineering Programme,0.6444561298076923,0.64111328125,13,41.53846153846154,39.0
Office of the Provost,0.6423658288043478,0.62939453125,46,47.26086956521739,42.0
BIZ Dean's Office,0.6402652138157895,0.63916015625,19,52.05263157894737,50.0
Residential Colleges,0.64013671875,0.64013671875,1,45.0,45.0
Strategy and Policy,0.6400501878955697,0.640625,79,52.835443037974684,52.0
YSTCM Dean's Office,0.6400111158561094,0.63818359375,311,36.765273311897104,32.0
FoS Dean's Office,0.6378267728365384,0.63916015625,26,49.61538461538461,45.0
Centre for Language Studies,0.6354440004770993,0.62548828125,131,32.31297709923664,29.0
Residential College 4,0.635394287109375,0.63671875,80,57.1375,65.0
FASS DO/Office of Programmes,0.6329561121323529,0.627197265625,34,51.8235294117647,53.5
Biochemistry,0.6314639136904762,0.62451171875,21,24.428571428571427,19.0
Statistics and Data Science,0.6305972450657895,0.6318359375,95,34.65263157894737,32.0
Microbiology and Immunology,0.6287626378676471,0.6328125,17,19.529411764705884,15.0
Biological Sciences,0.6275779884178322,0.63134765625,143,31.53146853146853,21.0
FoL Dean's Office,0.6267708285392121,0.6298828125,679,37.75699558173785,32.0
Malay Studies,0.6262082891949152,0.6298828125,59,45.88135593220339,44.0
Tembusu College,0.626207853618421,0.625732421875,76,50.55263157894737,50.0
Chinese Studies,0.6260873300057871,0.630859375,216,36.98148148148148,32.0
Pharmacology,0.6226029829545454,0.63916015625,11,25.363636363636363,29.0
Physics,0.6190388997395834,0.620361328125,144,30.305555555555557,23.0
Japanese Studies,0.61724609375,0.6171875,100,35.17,33.0
Mathematics,0.6134811761811023,0.61279296875,127,23.480314960629922,19.0
NUS College Dean's Office,0.6122526131838643,0.6103515625,361,33.041551246537395,28.0
Economics,0.6111251027960526,0.610107421875,190,33.59473684210526,25.0
Geography,0.6108719206204379,0.60888671875,137,33.02919708029197,25.0
Center for Engl Lang Comms,0.6102183948863636,0.6064453125,66,34.803030303030305,28.0
Psychology,0.6086840359669812,0.60888671875,212,26.47641509433962,22.0
FoD Dean's Office,0.608154296875,0.608154296875,2,20.5,20.5
