module_faculty,mean_top1_sim,median_top1_sim,n_modules,mean_breadth,median_breadth
Duke-NUS Medical School,0.6901041666666666,0.6904296875,3,62.666666666666664,76.0
NUS-ISS,0.6881184895833333,0.677734375,15,66.2,66.0
College of Design and Engineering,0.6676771144411263,0.66455078125,879,45.89306029579067,43.0
NUS Business School,0.6665969122023809,0.6650390625,630,59.08730158730159,58.0
Cont and Lifelong Education,0.6622793222402598,0.6640625,385,42.97922077922078,40.0
Computing,0.6535728717672413,0.6484375,261,38.36015325670498,36.0
SSH School of Public Health,0.64697265625,0.64013671875,33,43.78787878787879,46.0
Multi Disciplinary Programme,0.6444561298076923,0.64111328125,13,41.53846153846154,39.0
Yong Loo Lin Sch of Medicine,0.6403085214120371,0.6455078125,162,41.08641975308642,39.5
YST Conservatory of Music,0.6400111158561094,0.63818359375,311,36.765273311897104,32.0
Residential College,0.6380093443627451,0.64111328125,255,55.84705882352941,56.0
Non-Faculty-based Departments,0.6353252704326923,0.63623046875,130,49.184615384615384,45.0
Science,0.6339913417162077,0.638671875,799,36.33792240300375,31.0
Law,0.6267708285392121,0.6298828125,679,37.75699558173785,32.0
NUS,0.62548828125,0.6201171875,95,40.705263157894734,39.0
NUS College,0.6134649223587462,0.61083984375,323,33.78637770897833,29.0
Dentistry,0.608154296875,0.608154296875,2,20.5,20.5
Center for Engl Lang Comms,0.6065673828125,0.595458984375,4,33.75,30.5
Arts and Social Science,0.6054809930401918,0.60546875,2712,29.415560471976402,23.0
Temasek Defence Sys. Institute,0.59912109375,0.59912109375,1,26.0,26.0
Yale-NUS College,0.5869928858003792,0.5888671875,923,17.757313109425784,14.0
