ssoc_level,ssoc_group,ssoc_major_title,n_jobs,overall_mean_sim,top_module_mean_sim,top1_module,top1_title,top1_sim,top2_module,top2_title,top2_sim,top3_module,top3_title,top3_sim
ssoc_minor_title,LEGAL PROFESSIONALS,PROFESSIONALS,35,0.463016539812088,0.6572591662406921,LL4412,Securities and Capital Markets Regulation,0.6599748730659485,LL4475V,Law and Practice of Investment Management,0.6559012532234192,LL4475,Law and Practice of Investment Management,0.6559012532234192
ssoc_minor_title,PRIMARY EDUCATION TEACHERS,PROFESSIONALS,20,0.4692363440990448,0.6505289673805237,GEN2050X,Teach SG,0.6522216796875,GEN2050,Teach SG,0.6496826410293579,GEN2050Y,Teach SG,0.6496826410293579
ssoc_minor_title,TEACHING ASSOCIATE PROFESSIONALS NOT ELSEWHERE CLASSIFIED,ASSOCIATE PROFESSIONALS AND TECHNICIANS,58,0.47860756516456604,0.6405267715454102,GEN2050X,Teach SG,0.6419298648834229,GEN2050Y,Teach SG,0.6398252248764038,GEN2050,Teach SG,0.6398252248764038
ssoc_minor_title,MARKET GARDENERS AND CROP GROWERS,AGRICULTURAL AND FISHERY WORKERS,12,0.4421270489692688,0.6311714053153992,LSM3256,Tropical Horticulture,0.6593017578125,LAD2001,Design 3,0.6171061396598816,LAD2006,Design 3,0.6171061396598816
ssoc_minor_title,SECONDARY EDUCATION TEACHERS,PROFESSIONALS,24,0.4746217727661133,0.6278957724571228,GEN2050X,Teach SG,0.6291707158088684,GEN2050,Teach SG,0.62725830078125,GEN2050Y,Teach SG,0.62725830078125
ssoc_minor_title,"TRAVEL ATTENDANTS, CONDUCTORS AND GUIDES",SERVICES AND SALES WORKERS,5,0.46544525027275085,0.6277180910110474,UTC2415,The Effective Non-Profit in Singapore,0.6314452886581421,UTS2415,The Effective Non-Profit in Singapore,0.6314452886581421,AH3202,Time Traveller: The Curatorial in Southeast Asia,0.6202636957168579
ssoc_minor_title,OTHER SERVICES MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",216,0.4664416015148163,0.626594066619873,TS2235,Marketing the Arts and Leisure Services,0.6278867125511169,MKT3720,Retail Marketing,0.6271859407424927,MKT3425,Retail Marketing,0.6247095465660095
ssoc_minor_title,"AGRICULTURAL, FISHERY AND RELATED LABOURERS","CLEANERS, LABOURERS AND RELATED WORKERS",11,0.42582908272743225,0.6262577176094055,LSM3256,Tropical Horticulture,0.6561168432235718,GESS1001,Changing Landscapes of Singapore,0.611328125,GES1003,Changing Landscapes of Singapore,0.611328125
ssoc_minor_title,SUPERVISORS AND GENERAL FOREMEN OF ASSEMBLERS AND QUALITY CHECKERS,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1,0.4382297694683075,0.6253255009651184,ID2322,Materials and Production,0.640625,ME3263E,Design for Manufacturing and Assembly,0.61767578125,TME3263,Design for Manufacturing and Assembly,0.61767578125
ssoc_minor_title,RETAIL AND WHOLESALE TRADE MANAGERS,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",27,0.4486534297466278,0.6237099766731262,MKT3720,Retail Marketing,0.6413483619689941,MKT3425,Retail Marketing,0.6384367942810059,UTS2415,The Effective Non-Profit in Singapore,0.5913447737693787
ssoc_minor_title,PREMISES AND PARKS OFFICERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,71,0.4371841251850128,0.6228256225585938,IPM3102,Infrastructure and Facilities Management,0.6280465722084045,RE2707,Asset and Property Management,0.6239202618598938,PF3306,Facilities Management Law And Contracts,0.6165100932121277
ssoc_minor_title,NURSING ASSOCIATE PROFESSIONALS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,36,0.4389726221561432,0.6207953691482544,NUR2107B,Clinical Practice: Specialty Care,0.6212971806526184,NUR3205D,Clinical Experience IV,0.6207953691482544,NUR2203C,Clinical Experience II,0.6202934980392456
ssoc_minor_title,PRESCHOOL EDUCATION TEACHERS,ASSOCIATE PROFESSIONALS AND TECHNICIANS,267,0.4656236171722412,0.6190095543861389,GEN2050X,Teach SG,0.6206969022750854,GEN2050,Teach SG,0.618165910243988,GEN2050Y,Teach SG,0.618165910243988
