Degree,Faculty,Alignment,Align Rank,Breadth,Breadth Rank,Coverage %,Cov Rank,Target Ratio,Modules
Civil Engineering,College of Design and Engineering,0.6817968487739563,1,2,8,37.11,24,0.996,27
Finance,NUS Business School,0.6814794540405273,2,3,7,79.37,5,0.974,43
Law,Faculty of Law,0.6807909607887268,3,1,9,91.17,1,1.0,171
Mechanical Engineering,College of Design and Engineering,0.6757177710533142,4,2,8,40.73,21,1.0,46
Materials Science and Engineering,College of Design and Engineering,0.6756299734115601,5,3,7,36.11,26,0.943,47
Computer Science,School of Computing,0.6738134622573853,6,3,7,51.98,18,0.998,87
Marketing,NUS Business School,0.6722851991653442,7,2,8,78.86,6,0.977,38
Social Work,Faculty of Arts and Social Sciences,0.6628320813179016,8,1,9,79.97,4,1.0,49
Accountancy,NUS Business School,0.65736323595047,9,4,6,85.13,3,0.996,32
Infrastructure and Project Management,College of Design and Engineering,0.65380859375,10,4,6,55.65,16,0.994,42
Business Artificial Intelligence Systems,School of Computing,0.6529931426048279,11,3,7,72.31,11,0.995,50
Computer Engineering,College of Design and Engineering,0.6508788466453552,12,4,6,45.71,19,0.992,71
Communications and New Media,Faculty of Arts and Social Sciences,0.6502734422683716,13,4,6,75.79,8,0.989,49
Operations and Supply Chain Management,NUS Business School,0.6486474871635437,14,6,4,77.79,7,0.98,31
Business Analytics,School of Computing,0.6485009789466858,15,3,7,72.92,10,0.996,47
Landscape Architecture,College of Design and Engineering,0.6484570503234863,16,5,5,36.91,25,0.981,18
Applied Business Analytics,NUS Business School,0.6450536847114563,17,5,5,67.46,13,0.992,35
Chemistry,Faculty of Science,0.6446191072463989,18,3,7,16.59,46,0.913,47
Leadership & Human Capital Management,NUS Business School,0.6441455483436584,19,3,7,90.9,2,0.971,32
Chemical Engineering,College of Design and Engineering,0.6436864733695984,20,2,8,20.43,37,0.999,16
Quantitative Finance,Faculty of Science,0.6436523199081421,21,5,5,19.29,40,0.976,20
Biomedical Engineering,College of Design and Engineering,0.6428661942481995,22,2,8,34.45,28,0.967,59
Physics,Faculty of Science,0.6391259431838989,23,2,8,16.65,45,0.971,43
Food Science and Technology,Faculty of Science,0.636425793170929,24,5,5,16.42,47,0.858,15
Innovation & Entrepreneurship,NUS Business School,0.6352783441543579,25,2,8,75.34,9,0.945,26
Industrial Design,College of Design and Engineering,0.6320459246635437,26,6,4,45.28,20,0.992,21
Pharmacy,Faculty of Science,0.6315186023712158,27,5,5,37.64,23,0.993,22
Life Sciences,Faculty of Science,0.628481388092041,28,2,8,19.32,39,0.947,73
Environmental and Sustainability Engineering,College of Design and Engineering,0.6260644197463989,29,3,7,28.5,33,0.988,24
Real Estate,NUS Business School,0.625561535358429,30,4,6,31.63,31,0.867,14
History,Faculty of Arts and Social Sciences,0.6242773532867432,31,4,6,38.56,22,0.864,85
Pharmaceutical Science,Faculty of Science,0.6239209771156311,32,5,5,21.07,36,0.977,19
Data Science and Analytics,Faculty of Science,0.623461902141571,33,4,6,15.34,49,0.991,46
Psychology,Faculty of Arts and Social Sciences,0.6229053139686584,34,6,4,63.39,14,0.959,171
Artificial Intelligence,School of Computing,0.6227051019668579,35,4,6,17.45,44,0.99,25
Industrial & Systems Engineering,College of Design and Engineering,0.6225196123123169,36,5,5,60.12,15,0.99,40
Information Security,School of Computing,0.6213769316673279,37,6,4,23.0,35,0.978,27
Electrical Engineering,College of Design and Engineering,0.6213232278823853,38,4,6,18.9,41,0.978,16
Architecture,College of Design and Engineering,0.6174951195716858,39,5,5,18.53,42,0.986,17
Business Economics,NUS Business School,0.6135009527206421,40,4,6,69.82,12,0.992,33
Economics,Faculty of Arts and Social Sciences,0.6111962795257568,41,6,4,54.82,17,0.983,58
Statistics,Faculty of Science,0.6074512004852295,42,7,3,17.9,43,0.986,37
Mathematics,Faculty of Science,0.6057226657867432,43,8,2,27.6,34,0.959,74
Engineering Science,College of Design and Engineering,0.6050488352775574,44,4,6,19.39,38,0.99,18
Sociology,Faculty of Arts and Social Sciences,0.5926123261451721,45,7,3,34.52,27,0.971,36
Nursing,Yong Loo Lin School of Medicine,0.5923014283180237,46,4,6,10.6,52,0.981,9
Global Studies,Faculty of Arts and Social Sciences,0.5921435952186584,47,6,4,34.42,29,0.925,42
Theatre and Performance Studies,Faculty of Arts and Social Sciences,0.5870702862739563,48,7,3,30.0,32,0.935,20
Geography,Faculty of Arts and Social Sciences,0.5804736018180847,49,5,5,33.46,30,0.916,27
English Language and Linguistics,Faculty of Arts and Social Sciences,0.580126941204071,50,5,5,9.42,53,0.922,20
Political Science,Faculty of Arts and Social Sciences,0.5755566358566284,51,5,5,13.72,50,0.907,30
Anthropology,Faculty of Arts and Social Sciences,0.5645116567611694,52,9,1,16.28,48,0.962,27
"Philosophy, Politics and Economics",Faculty of Arts and Social Sciences,0.553037166595459,53,6,4,7.18,54,0.965,30
Philosophy,Faculty of Arts and Social Sciences,0.5496484041213989,54,7,3,11.39,51,0.942,57
English Literature,Faculty of Arts and Social Sciences,0.5378955006599426,55,4,6,1.49,55,0.913,27
