Degree,Faculty,Alignment,Align Rank,Breadth,Breadth Rank,Coverage %,Cov Rank,Target Ratio,Modules
Civil Engineering,College of Design and Engineering,0.6817968487739563,1,2,8,37.11,24,0.996,27
Finance,NUS Business School,0.6814794540405273,2,3,7,79.37,5,0.974,43
Law,Faculty of Law,0.6807909607887268,3,1,9,91.17,1,1.0,171
Mechanical Engineering,College of Design and Engineering,0.6757177710533142,4,2,8,40.73,21,1.0,46
Materials Science and Engineering,College of Design and Engineering,0.6756299734115601,5,3,7,36.11,26,0.943,47
Computer Science,School of Computing,0.6738134622573853,6,3,7,51.98,18,0.998,87
Marketing,NUS Business School,0.6722851991653442,7,2,8,78.86,6,0.977,38
Social Work,Faculty of Arts and Social Sciences,0.6628320813179016,8,1,9,79.97,4,1.0,49
Accountancy,NUS Business School,0.65736323595047,9,4,6,85.13,3,0.996,32
Infrastructure and Project Management,College of Design and Engineering,0.65380859375,10,4,6,55.65,16,0.994,42
Nursing,Yong Loo Lin School of Medicine,0.5923014283180237,46,4,6,10.6,52,0.981,9
Global Studies,Faculty of Arts and Social Sciences,0.5921435952186584,47,6,4,34.42,29,0.925,42
Theatre and Performance Studies,Faculty of Arts and Social Sciences,0.5870702862739563,48,7,3,30.0,32,0.935,20
Geography,Faculty of Arts and Social Sciences,0.5804736018180847,49,5,5,33.46,30,0.916,27
English Language and Linguistics,Faculty of Arts and Social Sciences,0.580126941204071,50,5,5,9.42,53,0.922,20
Political Science,Faculty of Arts and Social Sciences,0.5755566358566284,51,5,5,13.72,50,0.907,30
Anthropology,Faculty of Arts and Social Sciences,0.5645116567611694,52,9,1,16.28,48,0.962,27
"Philosophy, Politics and Economics",Faculty of Arts and Social Sciences,0.553037166595459,53,6,4,7.18,54,0.965,30
Philosophy,Faculty of Arts and Social Sciences,0.5496484041213989,54,7,3,11.39,51,0.942,57
English Literature,Faculty of Arts and Social Sciences,0.5378955006599426,55,4,6,1.49,55,0.913,27
