major,degree_faculty,n_modules_total,n_modules_matched,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,overall_mean_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
Civil Engineering,College of Design and Engineering,28,27,0.6817968487739563,1,0.7034667730331421,0.49610427021980286,2,8,2635,37.11,24
Finance,NUS Business School,45,43,0.6814794540405273,2,0.697949230670929,0.5286757349967957,3,7,5636,79.37,5
Law,Faculty of Law,189,171,0.6807909607887268,3,0.694873034954071,0.5435627698898315,1,9,6474,91.17,1
Mechanical Engineering,College of Design and Engineering,48,46,0.6757177710533142,4,0.689990222454071,0.5005764961242676,2,8,2892,40.73,21
Materials Science and Engineering,College of Design and Engineering,48,47,0.6756299734115601,5,0.7271972894668579,0.4949861168861389,3,7,2564,36.11,26
Computer Science,School of Computing,87,87,0.6738134622573853,6,0.694384753704071,0.5083847641944885,3,7,3691,51.98,18
Marketing,NUS Business School,42,38,0.6722851991653442,7,0.6732422113418579,0.5469541549682617,2,8,5600,78.86,6
Social Work,Faculty of Arts and Social Sciences,51,49,0.6628320813179016,8,0.6905761957168579,0.5252191424369812,1,9,5679,79.97,4
Accountancy,NUS Business School,32,32,0.65736323595047,9,0.6795409917831421,0.531467080116272,4,6,6045,85.13,3
Infrastructure and Project Management,College of Design and Engineering,43,42,0.65380859375,10,0.682080090045929,0.5120692253112793,4,6,3952,55.65,16
Business Artificial Intelligence Systems,School of Computing,50,50,0.6529931426048279,11,0.6722167730331421,0.5224125981330872,3,7,5135,72.31,11
Computer Engineering,College of Design and Engineering,72,71,0.6508788466453552,12,0.6597656011581421,0.5048518180847168,4,6,3246,45.71,19
Communications and New Media,Faculty of Arts and Social Sciences,50,49,0.6502734422683716,13,0.6619628667831421,0.5260999798774719,4,6,5382,75.79,8
Operations and Supply Chain Management,NUS Business School,31,31,0.6486474871635437,14,0.6864258050918579,0.5261801481246948,6,4,5524,77.79,7
Business Analytics,School of Computing,47,47,0.6485009789466858,15,0.662402331829071,0.524212121963501,3,7,5178,72.92,10
Landscape Architecture,College of Design and Engineering,19,18,0.6484570503234863,16,0.72705078125,0.4915584623813629,5,5,2621,36.91,25
Applied Business Analytics,NUS Business School,35,35,0.6450536847114563,17,0.664599597454071,0.52003413438797,5,5,4790,67.46,13
Chemistry,Faculty of Science,47,47,0.6446191072463989,18,0.683837890625,0.476866215467453,3,7,1178,16.59,46
Leadership & Human Capital Management,NUS Business School,32,32,0.6441455483436584,19,0.655712902545929,0.5445821285247803,3,7,6455,90.9,2
Chemical Engineering,College of Design and Engineering,21,16,0.6436864733695984,20,0.6607910394668579,0.4714471995830536,2,8,1451,20.43,37
Quantitative Finance,Faculty of Science,29,20,0.6436523199081421,21,0.6703125238418579,0.4760167598724365,5,5,1370,19.29,40
Biomedical Engineering,College of Design and Engineering,60,59,0.6428661942481995,22,0.673388659954071,0.4927537143230438,2,8,2446,34.45,28
Physics,Faculty of Science,45,43,0.6391259431838989,23,0.672119140625,0.4716666340827942,2,8,1182,16.65,45
Food Science and Technology,Faculty of Science,15,15,0.636425793170929,24,0.668701171875,0.4751257002353668,5,5,1166,16.42,47
Innovation & Entrepreneurship,NUS Business School,26,26,0.6352783441543579,25,0.635302722454071,0.5252878069877625,2,8,5350,75.34,9
Industrial Design,College of Design and Engineering,21,21,0.6320459246635437,26,0.6487792730331421,0.4975413978099823,6,4,3215,45.28,20
Pharmacy,Faculty of Science,22,22,0.6315186023712158,27,0.666748046875,0.49416738748550415,5,5,2673,37.64,23
Life Sciences,Faculty of Science,77,73,0.628481388092041,28,0.654101550579071,0.478547602891922,2,8,1372,19.32,39
Environmental and Sustainability Engineering,College of Design and Engineering,25,24,0.6260644197463989,29,0.676953136920929,0.48510119318962097,3,7,2024,28.5,33
Real Estate,NUS Business School,16,14,0.625561535358429,30,0.645947277545929,0.4889260232448578,4,6,2246,31.63,31
History,Faculty of Arts and Social Sciences,92,85,0.6242773532867432,31,0.673388659954071,0.4924086332321167,4,6,2738,38.56,22
Pharmaceutical Science,Faculty of Science,19,19,0.6239209771156311,32,0.6373535394668579,0.48051777482032776,5,5,1496,21.07,36
Data Science and Analytics,Faculty of Science,46,46,0.623461902141571,33,0.6593261957168579,0.47647783160209656,4,6,1089,15.34,49
Psychology,Faculty of Arts and Social Sciences,178,171,0.6229053139686584,34,0.637939453125,0.5132105946540833,6,4,4501,63.39,14
Artificial Intelligence,School of Computing,25,25,0.6227051019668579,35,0.643261730670929,0.477239191532135,4,6,1239,17.45,44
Industrial & Systems Engineering,College of Design and Engineering,40,40,0.6225196123123169,36,0.6439453363418579,0.5119583606719971,5,5,4269,60.12,15
Information Security,School of Computing,27,27,0.6213769316673279,37,0.646533191204071,0.48033440113067627,6,4,1633,23.0,35
Electrical Engineering,College of Design and Engineering,17,16,0.6213232278823853,38,0.634082019329071,0.46843865513801575,4,6,1342,18.9,41
Architecture,College of Design and Engineering,21,17,0.6174951195716858,39,0.633105456829071,0.4705917537212372,5,5,1316,18.53,42
Business Economics,NUS Business School,33,33,0.6135009527206421,40,0.633007824420929,0.5163904428482056,4,6,4958,69.82,12
Economics,Faculty of Arts and Social Sciences,58,58,0.6111962795257568,41,0.61962890625,0.5041662454605103,6,4,3893,54.82,17
Statistics,Faculty of Science,38,37,0.6074512004852295,42,0.64013671875,0.4764816462993622,7,3,1271,17.9,43
Mathematics,Faculty of Science,75,74,0.6057226657867432,43,0.631103515625,0.4872102737426758,8,2,1960,27.6,34
Engineering Science,College of Design and Engineering,19,18,0.6050488352775574,44,0.618847668170929,0.46903711557388306,4,6,1377,19.39,38
Sociology,Faculty of Arts and Social Sciences,36,36,0.5926123261451721,45,0.612011730670929,0.49095067381858826,7,3,2451,34.52,27
Nursing,Yong Loo Lin School of Medicine,11,9,0.5923014283180237,46,0.6101887822151184,0.46098798513412476,4,6,753,10.6,52
Global Studies,Faculty of Arts and Social Sciences,44,42,0.5921435952186584,47,0.6050781011581421,0.4905480146408081,6,4,2444,34.42,29
Theatre and Performance Studies,Faculty of Arts and Social Sciences,20,20,0.5870702862739563,48,0.6298828125,0.48542189598083496,7,3,2130,30.0,32
Geography,Faculty of Arts and Social Sciences,39,27,0.5804736018180847,49,0.584423840045929,0.4882928729057312,5,5,2376,33.46,30
English Language and Linguistics,Faculty of Arts and Social Sciences,20,20,0.580126941204071,50,0.592480480670929,0.46235406398773193,5,5,669,9.42,53
Political Science,Faculty of Arts and Social Sciences,30,30,0.5755566358566284,51,0.592578113079071,0.46986478567123413,5,5,974,13.72,50
Anthropology,Faculty of Arts and Social Sciences,27,27,0.5645116567611694,52,0.576416015625,0.4731293320655823,9,1,1156,16.28,48
"Philosophy, Politics and Economics",Faculty of Arts and Social Sciences,30,30,0.553037166595459,53,0.5618652105331421,0.4645143151283264,6,4,510,7.18,54
Philosophy,Faculty of Arts and Social Sciences,61,57,0.5496484041213989,54,0.5567871332168579,0.469391793012619,7,3,809,11.39,51
English Literature,Faculty of Arts and Social Sciences,27,27,0.5378955006599426,55,0.57958984375,0.44281813502311707,4,6,106,1.49,55
