module_department,n_modules,mean_top_k_sim,rank_top_k_sim,median_top_k_sim,mean_breadth,rank_breadth,mean_coverage_pct,rank_coverage
Duke-NUS Dean's Office,3,0.6695149739583334,1,0.666748046875,4.333333333333333,48,27.13,20
NUS-ISS,15,0.6635839740435282,2,0.6614745855331421,3.066666666666667,74,40.202666666666666,7
Finance,113,0.6613855968534419,3,0.653271496295929,3.6283185840707963,67,32.60637168141593,11
Marketing,112,0.6545366559709821,4,0.6549560725688934,3.9642857142857144,59,48.87303571428571,3
Chemical and Biomolecular Engineering,70,0.6531745280538287,5,0.660400390625,2.9571428571428573,76,22.589714285714287,32
NUS Libraries,1,0.651611328125,6,0.651611328125,1.0,79,26.88,22
Risk Management Institute,1,0.6502929925918579,7,0.6502929925918579,2.0,78,19.62,40
EngrgDesignandInnovationCentre,1,0.649951159954071,8,0.649951159954071,6.0,5,53.92,2
Accounting,66,0.6483694305925658,9,0.6497558355331421,4.378787878787879,47,35.90984848484849,8
Built Environment,65,0.6460456738105187,10,0.6483398675918579,3.923076923076923,61,24.64169230769231,25
Civil and Environmental Engineering,83,0.6437982392598347,11,0.6432129144668579,3.2650602409638556,72,19.987951807228917,38
Analytics and Operations,85,0.6410989235429203,12,0.638134777545929,5.011764705882353,29,32.50435294117647,12
Office of Student Affairs,2,0.641040027141571,13,0.641040027141571,8.0,1,59.769999999999996,1
Information Systems and Analytics,74,0.6408981721143465,14,0.6385498046875,4.27027027027027,49,23.142702702702703,31
Materials Science and Engineering,64,0.6408073380589485,15,0.6440673768520355,3.078125,73,13.67703125,52
Acacia College,10,0.6402587890625,16,0.6370849609375,4.5,46,19.19,41
Industrial Design,75,0.6392480476697286,17,0.633544921875,4.88,33,27.630533333333332,19
Centre for Future-ready Grads,7,0.6375348738261631,18,0.629199206829071,3.857142857142857,63,45.895714285714284,5
Real Estate,55,0.6348801493644715,19,0.6314452886581421,4.781818181818182,37,27.064545454545453,21
Electrical and Computer Engineering,129,0.6342198095580404,20,0.6354004144668579,3.7829457364341086,65,12.598294573643411,58
SCALE Dean's Office,385,0.6333553175647537,21,0.6353515386581421,3.568831168831169,69,17.820701298701298,43
Management and Organisation,101,0.6332258469987624,22,0.6302734613418579,3.702970297029703,66,46.04673267326733,4
Engineering Science Programme,21,0.6317173639933268,23,0.626416027545929,3.9047619047619047,62,30.58,15
Industrial Systems Engineering and Management,56,0.6313903832009861,24,0.625781238079071,4.160714285714286,52,28.46625,18
Mechanical Engineering,84,0.6298554887374243,25,0.625170886516571,2.892857142857143,77,14.77309523809524,49
NUS Medicine Dean's Office,28,0.6291067983422961,26,0.6258300840854645,3.857142857142857,63,23.808214285714286,29
NUS Enterprise Academy,53,0.6286722444138437,27,0.630908191204071,3.9622641509433962,60,42.35169811320755,6
Social Work,96,0.6282063815742731,28,0.627636730670929,3.2916666666666665,71,25.914895833333333,23
Alice Lee Center for Nursing Studies,60,0.6278059919675191,29,0.6304687261581421,4.033333333333333,57,20.4045,37
Chua Thian Poh Comm Leader Center,15,0.6267610669136048,30,0.6126953363418579,4.6,43,34.24933333333333,10
Food Science and Technology,56,0.6255911695105689,31,0.625048816204071,4.678571428571429,39,21.23910714285714,35
Computing and Engineering Programme,13,0.6245643038016099,32,0.623095691204071,4.076923076923077,55,18.364615384615384,42
Architecture,121,0.6226602856777916,33,0.621337890625,4.859504132231405,34,16.95404958677686,45
CDE Dean's Office,58,0.6223557098158474,34,0.620043933391571,4.672413793103448,41,29.08189655172414,17
Strategy and Policy,79,0.6222205071509639,35,0.6180664300918579,3.8354430379746836,64,34.88392405063291,9
PharmacyandPharmaceuticalScience,109,0.6200737373544536,36,0.622363269329071,5.174311926605505,21,19.790825688073394,39
SoC Dean's Office,18,0.6194010410043929,37,0.615771472454071,5.055555555555555,27,29.143888888888892,16
Biomedical Engineering,52,0.6178523107216909,38,0.6138671636581421,4.269230769230769,50,12.762307692307692,55
College of Alice and Peter Tan,65,0.6173640333689177,39,0.6141601800918579,4.923076923076923,31,30.69846153846154,14
Communications and New Media,120,0.6164314786593119,40,0.615673840045929,5.441666666666666,13,23.319666666666667,30
BIZ Dean's Office,19,0.6160644637910944,41,0.6017090082168579,4.105263157894737,54,30.902105263157893,13
Computer Science,169,0.6150298199710056,42,0.6116698980331421,4.514792899408284,44,16.13887573964497,46
Chemistry,98,0.6137784999244067,43,0.6150146424770355,3.9693877551020407,58,10.365714285714287,64
Ridge View Residential College,23,0.6136463906454004,44,0.6136230230331421,5.086956521739131,26,24.26695652173913,26
FoS Dean's Office,26,0.6089036235442529,45,0.601757824420929,5.038461538461538,28,23.813076923076924,28
Office of the Provost,46,0.6086776016846948,46,0.6038818359375,4.673913043478261,40,21.995869565217394,34
Residential College 4,80,0.608472903072834,47,0.6121581792831421,4.7125,38,25.008625000000002,24
FASS DO/Office of Programmes,34,0.6067598269266241,48,0.6017090082168579,5.352941176470588,15,22.07794117647059,33
SSH School of Public Health Dean's Office,33,0.6023259921507402,49,0.602343738079071,4.818181818181818,36,14.071212121212122,51
Centre for Language Studies,131,0.6022855989805614,50,0.5945800542831421,5.221374045801527,19,10.111755725190841,65
Statistics and Data Science,95,0.6018883648671602,51,0.6017090082168579,4.852631578947369,35,12.979368421052632,54
FoL Dean's Office,679,0.5991969250351059,52,0.5979980230331421,3.5729013254786453,68,15.901281296023564,47
Biochemistry,21,0.5984072770391192,53,0.599560558795929,3.3333333333333335,70,6.237142857142857,75
Tembusu College,76,0.5972399241045901,54,0.6029784977436066,5.157894736842105,22,23.849999999999998,27
Chinese Studies,216,0.5969037086599402,55,0.6024414300918579,5.175925925925926,20,10.399629629629631,63
YSTCM Dean's Office,311,0.5954512942258952,56,0.5953124761581421,4.138263665594855,53,12.629453376205788,57
Residential Colleges,1,0.595019519329071,57,0.595019519329071,7.0,2,20.8,36
Malay Studies,59,0.5920120528188803,58,0.59619140625,5.627118644067797,10,14.650847457627119,50
Biological Sciences,143,0.590853262614537,59,0.5929199457168579,4.510489510489511,45,9.541258741258742,67
Microbiology and Immunology,17,0.5901309707585503,60,0.5918945074081421,4.176470588235294,51,3.9464705882352944,79
Physics,144,0.589014183729887,61,0.5932861268520355,4.666666666666667,42,9.368888888888888,68
Economics,190,0.5867675803209605,62,0.585009753704071,5.410526315789474,14,15.454473684210527,48
FoD Dean's Office,2,0.586499035358429,63,0.586499035358429,3.0,75,2.715,80
Pathology,1,0.585156261920929,64,0.585156261920929,6.0,5,2.45,82
Pharmacology,11,0.584889910437844,65,0.5882323980331421,5.545454545454546,11,5.34909090909091,76
Temasek Defence Systems Inst,1,0.5843750238418579,66,0.5843750238418579,5.0,30,10.69,62
Mathematics,127,0.5838165517867081,67,0.584033191204071,5.25984251968504,18,8.44259842519685,70
Japanese Studies,100,0.5820991188287735,68,0.583251953125,6.96,3,11.5809,60
NUS College Dean's Office,361,0.5817658750964664,69,0.5794922113418579,5.321329639889196,17,13.05623268698061,53
Center for Engl Lang Comms,66,0.581489699808034,70,0.5816161930561066,4.893939393939394,32,17.763030303030302,44
Psychology,212,0.5795271956133392,71,0.5770752131938934,5.09433962264151,25,9.743443396226416,66
Geography,137,0.5791664288861909,72,0.5755370855331421,5.109489051094891,24,12.76014598540146,56
Physiology,20,0.5769506841897964,73,0.5734374821186066,4.05,56,8.653,69
Southeast Asian Studies,95,0.5740069916373804,74,0.574462890625,6.621052631578947,4,10.862631578947369,61
Sociology and Anthropology,182,0.5708953538438776,75,0.569750964641571,5.6923076923076925,9,12.59346153846154,59
Anatomy,4,0.56622314453125,76,0.5730468928813934,4.5,46,2.6675,81
"English,Ling.andTheatre Studies",352,0.5619902178137139,77,0.5601562559604645,5.8664772727272725,7,7.404744318181818,73
History,223,0.5556210390388163,78,0.550537109375,5.753363228699552,8,7.261076233183856,74
Yale-NUS College,923,0.5550359620239469,79,0.5589355230331421,5.351029252437703,16,5.102860238353196,77
Political Science,297,0.5534564393136637,80,0.554443359375,5.508417508417509,12,8.32851851851852,71
South Asian Studies,88,0.5524691482159224,81,0.546948254108429,5.954545454545454,6,8.26659090909091,72
Philosophy,181,0.5316518220782939,82,0.523388683795929,5.121546961325967,23,4.06121546961326,78
