faculty,n_modules,n_ssoc_groups_total,n_ssoc_groups_covered,coverage_pct
Arts and Social Science,3684,126,126,100
College of Design and Engineering,1906,126,126,100
Cont and Lifelong Education,398,126,126,100
Duke-NUS Medical School,158,126,126,100
Law,2523,126,126,100
LKY School of Public Policy,238,126,126,100
NUS,89,126,126,100
NUS Business School,1126,126,126,100
Yale-NUS College,841,126,126,100
Science,1228,126,126,100
Non-Faculty-based Departments,131,126,126,100
NUS College,323,126,126,100
YST Conservatory of Music,223,126,126,100
Residential College,245,126,126,100
SSH School of Public Health,128,126,126,100
Computing,397,126,125,99.21
Yong Loo Lin Sch of Medicine,385,126,125,99.21
Temasek Defence Sys. Institute,15,126,125,99.21
NUS-ISS,78,126,125,99.21
NUS Graduate School,35,126,125,99.21
Logistics Inst-Asia Pac,4,126,123,97.62
Risk Management Institute,25,126,121,96.03
Multi Disciplinary Programme,11,126,116,92.06
Mechanobiology Institute (MBI),3,126,112,88.89
