faculty,ssoc_minor_title,mean_similarity,max_similarity,n_modules,n_jobs
Arts and Social Science,ADMINISTRATION PROFESSIONALS,0.4478,0.7337,3684,703
Arts and Social Science,ADMINISTRATIVE ASSOCIATE PROFESSIONALS,0.4309,0.7351,3684,713
Arts and Social Science,"AGRICULTURAL, FISHERY AND RELATED LABOURERS",0.434,0.6529,3684,11
Arts and Social Science,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS",0.4488,0.7624,3684,80
Arts and Social Science,ARTISTIC AND CULTURAL ASSOCIATE PROFESSIONALS,0.4314,0.6742,3684,173
Arts and Social Science,"ASSEMBLERS, QUALITY CHECKERS AND TESTERS",0.4265,0.6032,3684,7
Arts and Social Science,ASSISTANT ENGINEERS,0.4364,0.6294,3684,46
Arts and Social Science,"AUTHORS, JOURNALISTS AND EDITORS",0.4664,0.7756,3684,19
Arts and Social Science,"BLACKSMITHS, TOOLMAKERS AND RELATED TRADES WORKERS",0.4271,0.565,3684,1
Arts and Social Science,"BOOKMAKERS, CROUPIERS AND RELATED GAMING WORKERS",0.4196,0.5943,3684,3
Arts and Social Science,BUILDING FINISHERS AND RELATED TRADES WORKERS,0.4066,0.6033,3684,24
Arts and Social Science,BUILDING FRAME AND RELATED TRADES WORKERS,0.4118,0.6009,3684,29
Arts and Social Science,"BUILDING, QUALITY AND SAFETY INSPECTORS",0.4349,0.6329,3684,25
Arts and Social Science,BUSINESS SERVICES AGENTS,0.4484,0.7148,3684,108
Arts and Social Science,BUSINESS SERVICES AND ADMINISTRATION MANAGERS,0.4344,0.7136,3684,148
Arts and Social Science,CAR AND LIGHT GOODS VEHICLE DRIVERS,0.427,0.6492,3684,93
Arts and Social Science,CASHIERS AND TICKET CLERKS,0.4203,0.6531,3684,40
Arts and Social Science,CHILD CARE WORKERS AND TEACHER AIDES,0.4686,0.7189,3684,111
Arts and Social Science,"CLEANERS AND HELPERS IN HOTELS, OFFICES AND OTHER ESTABLISHMENTS",0.4284,0.6574,3684,119
Arts and Social Science,CLEANING SUPERVISORS,0.4177,0.5923,3684,13
Arts and Social Science,CLERICAL SUPERVISORS,0.4182,0.626,3684,9
Arts and Social Science,CLIENT INFORMATION CLERKS,0.4377,0.6862,3684,552
Arts and Social Science,CONSTRUCTION LABOURERS AND RELATED WORKERS,0.4463,0.5828,3684,1
Arts and Social Science,COOKS,0.4306,0.6408,3684,81
Arts and Social Science,CREATIVE AND PERFORMING ARTISTS,0.4367,0.6884,3684,25
Arts and Social Science,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS",0.4306,0.6414,3684,105
Arts and Social Science,DOMESTIC HELPERS AND CLEANERS,0.4368,0.6155,3684,2
Arts and Social Science,ELECTRICAL EQUIPMENT RELATED TRADES WORKERS,0.4162,0.6144,3684,18
Arts and Social Science,ENGINEERING PROFESSIONALS I,0.438,0.7028,3684,861
Arts and Social Science,ENGINEERING PROFESSIONALS II (Cont’d),0.4373,0.66,3684,248
Arts and Social Science,EXTRACURRICULUM INSTRUCTORS,0.4796,0.7493,3684,91
Arts and Social Science,FINANCE PROFESSIONALS,0.4404,0.753,3684,269
Arts and Social Science,FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS,0.425,0.6573,3684,130
Arts and Social Science,FOOD AND RELATED PRODUCTS MACHINE OPERATORS,0.4198,0.6064,3684,3
Arts and Social Science,FOOD PREPARATION AND KITCHEN ASSISTANTS,0.4252,0.6315,3684,87
Arts and Social Science,FOOD PROCESSING AND RELATED TRADES WORKERS,0.4268,0.6036,3684,28
Arts and Social Science,"GARMENT, LEATHER AND RELATED TRADES WORKERS",0.432,0.5774,3684,4
Arts and Social Science,GENERAL OFFICE CLERKS,0.4371,0.7069,3684,532
Arts and Social Science,GOVERNMENT ASSOCIATE PROFESSIONALS,0.4269,0.6196,3684,6
Arts and Social Science,"HAIRDRESSERS, BEAUTICIANS AND RELATED WORKERS",0.429,0.6429,3684,86
Arts and Social Science,HANDICRAFT AND PRECISION WORKERS,0.4191,0.5764,3684,10
Arts and Social Science,HEALTHCARE ASSISTANTS AND RELATED PERSONAL CARE WORKERS,0.4373,0.7263,3684,125
Arts and Social Science,HEAVY TRUCK AND BUS DRIVERS,0.4232,0.6192,3684,146
Arts and Social Science,HOTEL AND FOOD AND BEVERAGES SERVICES MANAGERS,0.4154,0.6508,3684,53
Arts and Social Science,HOUSEKEEPERS AND RELATED WORKERS,0.4197,0.6531,3684,31
Arts and Social Science,INFORMATION AND COMMUNICATIONS TECHNOLOGY OPERATORS AND TECHNICIANS,0.4286,0.6501,3684,90
Arts and Social Science,INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS,0.4369,0.6963,3684,47
Arts and Social Science,JUNIOR COLLEGE AND PRE-UNIVERSITY EDUCATION TEACHERS,0.4854,0.6147,3684,2
Arts and Social Science,KEYBOARD OPERATORS,0.4305,0.618,3684,15
Arts and Social Science,LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS,0.4561,0.7333,3684,37
Arts and Social Science,LEGAL PROFESSIONALS,0.4572,0.6801,3684,35
Arts and Social Science,LEGISLATORS AND SENIOR OFFICIALS,0.4314,0.6853,3684,42
Arts and Social Science,"LIBRARIANS, ARCHIVISTS AND CURATORS",0.469,0.7261,3684,5
Arts and Social Science,LIFE SCIENCE PROFESSIONALS,0.4514,0.6948,3684,36
Arts and Social Science,LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS,0.4445,0.6572,3684,15
Arts and Social Science,"MACHINERY MECHANICS, FITTERS AND REPAIRERS",0.4239,0.5977,3684,20
Arts and Social Science,"MANAGING DIRECTORS, CHIEF EXECUTIVES AND GENERAL MANAGERS",0.4272,0.6736,3684,45
Arts and Social Science,MANUFACTURING LABOURERS AND RELATED WORKERS,0.4154,0.6037,3684,20
Arts and Social Science,"MANUFACTURING, CONSTRUCTION, TRANSPORT, DISTRIBUTION AND RELATED PRODUCTION AND OPERATIONS MANAGERS",0.4263,0.6863,3684,66
Arts and Social Science,MARKET GARDENERS AND CROP GROWERS,0.4452,0.6555,3684,12
Arts and Social Science,MARKETING AND PUBLIC RELATIONS PROFESSIONALS,0.4471,0.7203,3684,399
Arts and Social Science,MATERIAL-RECORDING AND TRANSPORT CLERKS,0.4248,0.7247,3684,122
Arts and Social Science,"MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS",0.4521,0.701,3684,67
Arts and Social Science,MEDICAL AND PHARMACEUTICAL TECHNICIANS,0.4264,0.6631,3684,55
Arts and Social Science,MEDICAL DOCTORS,0.4473,0.6915,3684,28
Arts and Social Science,"METAL PROCESSING, FINISHING AND PRODUCTS PLANT OPERATORS",0.4164,0.5839,3684,19
Arts and Social Science,MOBILE MACHINERY OPERATORS,0.4077,0.6039,3684,39
Arts and Social Science,"MODELS, SALES DEMONSTRATORS AND RELATED SALES WORKERS",0.4379,0.7008,3684,370
Arts and Social Science,NUMERICAL CLERKS,0.4271,0.661,3684,346
Arts and Social Science,NURSING ASSOCIATE PROFESSIONALS,0.4455,0.6598,3684,36
Arts and Social Science,NURSING PROFESSIONALS,0.4366,0.6976,3684,227
Arts and Social Science,OTHER CLERICAL SUPPORT WORKERS,0.4418,0.6412,3684,16
Arts and Social Science,OTHER CRAFT AND RELATED WORKERS,0.4189,0.5993,3684,18
Arts and Social Science,OTHER HEALTH ASSOCIATE PROFESSIONALS,0.4343,0.7147,3684,69
