module_code,module_title,module_faculty,module_department,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,top_k_min_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
FIN3102A,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3102,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3702,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3702A,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3702B,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3702D,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3702C,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3102B,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3102D,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
FIN3102C,Investment Analysis and Portfolio Management,NUS Business School,Finance,0.7587890625,1,0.78271484375,0.74365234375,2,9,3978,56.02,227
TCE4282,Building Information Modeling for Project Management,Cont and Lifelong Education,SCALE Dean's Office,0.757519543170929,2,0.779296875,0.74169921875,4,7,1389,19.56,1389
CE4282,Building Information Modeling for Project Management,College of Design and Engineering,Civil and Environmental Engineering,0.757519543170929,2,0.779296875,0.74169921875,4,7,1389,19.56,1389
FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,NUS Business School,Finance,0.7427734136581421,3,0.76220703125,0.72607421875,3,8,5961,83.95,13
DSC4213,Analytical Tools for Consulting,NUS Business School,Analytics and Operations,0.7381347417831421,4,0.763671875,0.71923828125,2,9,5372,75.65,41
CN4217E,Processing of Microelectronic Materials,Cont and Lifelong Education,SCALE Dean's Office,0.73388671875,5,0.748046875,0.7197265625,3,8,2567,36.15,708
TCN4217,Processing of Microelectronic Materials,Cont and Lifelong Education,SCALE Dean's Office,0.73388671875,5,0.748046875,0.7197265625,3,8,2567,36.15,708
FIN3135,Consumer Banking Wealth Management,NUS Business School,Finance,0.7327636480331421,6,0.7978515625,0.71826171875,2,9,3181,44.8,448
FIN3721,Consumer Banking Wealth Management,NUS Business School,Finance,0.7327636480331421,6,0.7978515625,0.71826171875,2,9,3181,44.8,448
EE4410,Integrated Circuit And System Design,College of Design and Engineering,Electrical and Computer Engineering,0.731884777545929,7,0.75830078125,0.701171875,3,8,937,13.2,1749
MKT4722,Personal Selling & Sales Management,NUS Business School,Marketing,0.72998046875,8,0.74560546875,0.71826171875,5,6,4488,63.2,140
PF3208,Project Leadership,College of Design and Engineering,Built Environment,0.729736328125,9,0.8154296875,0.67822265625,3,8,2289,32.23,843
CN4217R,Processing of Microelectronic Materials,College of Design and Engineering,Chemical and Biomolecular Engineering,0.7291015386581421,10,0.75146484375,0.71630859375,3,8,2768,38.98,616
