module code,title,faculty,mean_sim,max_sim,top5_mean_sim
PF3208,Project Leadership,College of Design and Engineering,0.46318522,0.81566197,0.76876414
FIN3102C,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3102D,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3702,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3702B,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3702A,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3102A,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3702D,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3702C,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3102B,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
FIN3102,Investment Analysis and Portfolio Management,NUS Business School,0.4979179,0.782692,0.76851654
TCE4282,Building Information Modeling for Project Management,Cont and Lifelong Education,0.4510629,0.77909565,0.7648527
CE4282,Building Information Modeling for Project Management,College of Design and Engineering,0.4510629,0.77909565,0.7648527
FIN4713,Advanced Portfolio Management: Securities Analysis & Valuation,NUS Business School,0.5377268,0.7624052,0.7551017
GEN2062Y,Community Activities for Seniors,NUS,0.509556,0.766304,0.75269544
FST4288,Honours Project in Food Science and Technology,Science,0.5021171,0.76450586,0.7522524
DSC4213,Analytical Tools for Consulting,NUS Business School,0.527273,0.76389617,0.75130093
EE4410,Integrated Circuit And System Design,College of Design and Engineering,0.4383056,0.7584716,0.74994457
FST3112,Food Quality Assurance and Control,Science,0.5044573,0.78686064,0.7466345
EE4410A,Integrated Circuit Design,College of Design and Engineering,0.4321761,0.75456893,0.7459985
FIN3721,Consumer Banking Wealth Management,NUS Business School,0.4864695,0.79766077,0.7455846
FIN3135,Consumer Banking Wealth Management,NUS Business School,0.4864695,0.79766077,0.7455846
CN4217R,Processing of Microelectronic Materials,College of Design and Engineering,0.49642882,0.76007634,0.7440401
CN4217E,Processing of Microelectronic Materials,Cont and Lifelong Education,0.49318618,0.74842095,0.74328387
TCN4217,Processing of Microelectronic Materials,Cont and Lifelong Education,0.49318618,0.74842095,0.74328387
CE3166,Steel Design for Urban Infrastructure,College of Design and Engineering,0.48962468,0.75984913,0.74250114
IS2108,Full-stack Software Engineering for AI Solutions I,Computing,0.45910683,0.79705393,0.73898256
CS3203,Software Engineering Project,Computing,0.46125457,0.78023136,0.7371119
LAD3003,Professional Practice,College of Design and Engineering,0.5064394,0.81313974,0.73710394
IS3108,Full-stack Software Engineering for AI Solutions II,Computing,0.47852334,0.7694652,0.73668283
UTC2416,Positive Youth Development in Singapore,Residential College,0.5098179,0.7361555,0.7361555
UTS2411,Positive Youth Development in Singapore,Residential College,0.5098179,0.7361555,0.7361555
MKT4722,Personal Selling & Sales Management,NUS Business School,0.5192967,0.74547774,0.7360228
MNO4717,Talent Acquisition,NUS Business School,0.5094964,0.7537848,0.7357262
CE4103,Civil Engineering Design Project,College of Design and Engineering,0.45620298,0.74605787,0.7356928
