major,degree_faculty,mapped_ssoc_groups,n_mapped_jobs,targeted_top_k_mean,rank_targeted,overall_top_k_mean,targeted_vs_overall_ratio,rank_ratio
Law,Faculty of Law,LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS; LEGAL PROFESSIONALS,45,0.6807909607887268,1,0.6807909607887268,1.0,1
Civil Engineering,College of Design and Engineering,"BUILDING, QUALITY AND SAFETY INSPECTORS; ENGINEERING PROFESSIONALS I",697,0.6789941191673279,2,0.6817968487739563,0.996,4
Mechanical Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; ENGINEERING PROFESSIONALS II (Cont'd),686,0.6755126714706421,3,0.6757177710533142,1.0,1
Computer Science,School of Computing,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS; INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",317,0.6723535060882568,4,0.6738134622573853,0.998,3
Finance,NUS Business School,FINANCE PROFESSIONALS; FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS,306,0.66357421875,5,0.6814794540405273,0.974,20
Social Work,Faculty of Arts and Social Sciences,LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS; SOCIAL SCIENCE RESEARCHERS AND PROFESSIONALS; RELIGIOUS PROFESSIONALS,51,0.6628320813179016,6,0.6628320813179016,1.0,1
Marketing,NUS Business School,MARKETING AND PUBLIC RELATIONS PROFESSIONALS; SALES AND RELATED ASSOCIATE PROFESSIONALS,1020,0.6569141149520874,7,0.6722851991653442,0.977,18
Accountancy,NUS Business School,FINANCE PROFESSIONALS; FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS,306,0.6549609303474426,8,0.65736323595047,0.996,4
Infrastructure and Project Management,College of Design and Engineering,"ADMINISTRATION PROFESSIONALS; BUILDING, QUALITY AND SAFETY INSPECTORS; ENGINEERING PROFESSIONALS I",1133,0.6496387124061584,9,0.65380859375,0.994,6
Business Artificial Intelligence Systems,School of Computing,ADMINISTRATION PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,624,0.6496337652206421,10,0.6529931426048279,0.995,5
Business Analytics,School of Computing,"ADMINISTRATION PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",677,0.6460644006729126,11,0.6485009789466858,0.996,4
Computer Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; INFORMATION AND COMMUNICATIONS TECHNOLOGY OPERATORS AND TECHNICIANS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,904,0.6459764838218689,12,0.6508788466453552,0.992,8
Chemical Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; ENGINEERING PROFESSIONALS II (Cont'd),686,0.6429882645606995,13,0.6436864733695984,0.999,2
Communications and New Media,Faculty of Arts and Social Sciences,"AUTHORS, JOURNALISTS AND EDITORS; MARKETING AND PUBLIC RELATIONS PROFESSIONALS",288,0.6429394483566284,14,0.6502734422683716,0.989,11
Applied Business Analytics,NUS Business School,"ADMINISTRATION PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS",489,0.6399218440055847,15,0.6450536847114563,0.992,8
Materials Science and Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; ENGINEERING PROFESSIONALS II (Cont'd),686,0.6372362971305847,16,0.6756299734115601,0.943,28
Operations and Supply Chain Management,NUS Business School,ADMINISTRATION PROFESSIONALS; MATERIAL-RECORDING AND TRANSPORT CLERKS; TRANSPORT OPERATIONS PLANNERS AND EXECUTIVES,460,0.6359912157058716,17,0.6486474871635437,0.98,16
Landscape Architecture,College of Design and Engineering,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS",50,0.6359277367591858,18,0.6484570503234863,0.981,15
Quantitative Finance,Faculty of Science,"FINANCE PROFESSIONALS; FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS",359,0.6285253763198853,19,0.6436523199081421,0.976,19
Pharmacy,Faculty of Science,MEDICAL AND PHARMACEUTICAL TECHNICIANS; OTHER HEALTH PROFESSIONALS,117,0.6271435022354126,20,0.6315186023712158,0.993,7
Industrial Design,College of Design and Engineering,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS; ARTISTIC AND CULTURAL ASSOCIATE PROFESSIONALS",138,0.6270605325698853,21,0.6320459246635437,0.992,8
Leadership & Human Capital Management,NUS Business School,ADMINISTRATION PROFESSIONALS; BUSINESS SERVICES AGENTS,494,0.6253319978713989,22,0.6441455483436584,0.971,21
Biomedical Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; LIFE SCIENCE PROFESSIONALS,710,0.6214697957038879,23,0.6428661942481995,0.967,22
Physics,Faculty of Science,ENGINEERING PROFESSIONALS I; PHYSICAL AND EARTH SCIENCE PROFESSIONALS,689,0.6206494569778442,24,0.6391259431838989,0.971,21
Environmental and Sustainability Engineering,College of Design and Engineering,ENGINEERING PROFESSIONALS I; LIFE SCIENCE PROFESSIONALS; PHYSICAL AND EARTH SCIENCE PROFESSIONALS,713,0.6186621189117432,25,0.6260644197463989,0.988,12
Data Science and Analytics,Faculty of Science,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",336,0.6180078387260437,26,0.623461902141571,0.991,9
Artificial Intelligence,School of Computing,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",283,0.616748034954071,27,0.6227051019668579,0.99,10
Industrial & Systems Engineering,College of Design and Engineering,ADMINISTRATION PROFESSIONALS; ENGINEERING PROFESSIONALS I; ENGINEERING PROFESSIONALS II (Cont'd),1122,0.6163037419319153,28,0.6225196123123169,0.99,10
Pharmaceutical Science,Faculty of Science,LIFE SCIENCE PROFESSIONALS; MEDICAL AND PHARMACEUTICAL TECHNICIANS,35,0.6097754240036011,29,0.6239209771156311,0.977,18
Architecture,College of Design and Engineering,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS",50,0.6089307069778442,30,0.6174951195716858,0.986,13
Business Economics,NUS Business School,ADMINISTRATION PROFESSIONALS; FINANCE PROFESSIONALS,684,0.6084862947463989,31,0.6135009527206421,0.992,8
Information Security,School of Computing,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",283,0.6079297065734863,32,0.6213769316673279,0.978,17
Electrical Engineering,College of Design and Engineering,ELECTRICAL EQUIPMENT RELATED TRADES WORKERS; ENGINEERING PROFESSIONALS I; ENGINEERING PROFESSIONALS II (Cont'd),693,0.6078662276268005,33,0.6213232278823853,0.978,17
Economics,Faculty of Arts and Social Sciences,"FINANCE PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS",301,0.6008740663528442,34,0.6111962795257568,0.983,14
Innovation & Entrepreneurship,NUS Business School,ADMINISTRATION PROFESSIONALS; BUSINESS SERVICES AGENTS,494,0.6003613471984863,35,0.6352783441543579,0.945,27
Engineering Science,College of Design and Engineering,ENGINEERING PROFESSIONALS I; PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS I,807,0.5989600419998169,36,0.6050488352775574,0.99,10
Statistics,Faculty of Science,"FINANCIAL AND MATHEMATICAL ASSOCIATE PROFESSIONALS; MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",299,0.5987353324890137,37,0.6074512004852295,0.986,13
Psychology,Faculty of Arts and Social Sciences,LEGAL AND SOCIAL ASSOCIATE PROFESSIONALS; SOCIAL SCIENCE RESEARCHERS AND PROFESSIONALS; RELIGIOUS PROFESSIONALS,51,0.5971533060073853,38,0.6229053139686584,0.959,25
Life Sciences,Faculty of Science,LIFE SCIENCE PROFESSIONALS; LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS,33,0.5949462652206421,39,0.628481388092041,0.947,26
Chemistry,Faculty of Science,LIFE SCIENCE PROFESSIONALS; PHYSICAL AND EARTH SCIENCE PROFESSIONALS,27,0.5885790586471558,40,0.6446191072463989,0.913,34
Mathematics,Faculty of Science,"MATHEMATICIANS, ACTUARIES, STATISTICIANS AND RELATED PROFESSIONALS; SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS",241,0.5809960961341858,41,0.6057226657867432,0.959,25
