major,degree_faculty,rank,job_id,job_title,ssoc_minor_title,ssoc_unit_title,similarity,best_module
Biomedical Engineering,College of Design and Engineering,1,2144bd07174e7fd7d4167bdae23f8424,Biomedical Engineer / Senior Technical Officer,ENGINEERING PROFESSIONALS I,Engineering Professionals Not Elsewhere Classified,0.673388659954071,BN3101A
Biomedical Engineering,College of Design and Engineering,2,8e9d25a78fea566514f1f554f5a02f1b,Research Fellow (Materials Synthesis and Agricultural),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.6578124761581421,BN3301
Biomedical Engineering,College of Design and Engineering,3,42632c5fe608ebb7d598f5e47baa306f,Manufacturing Engineer,ENGINEERING PROFESSIONALS I,Engineering Professionals Not Elsewhere Classified,0.648486316204071,BN2105
Biomedical Engineering,College of Design and Engineering,4,2adfa013739f402ae484dc5f221f568e,Manufacturing Engineer,ENGINEERING PROFESSIONALS I,Engineering Professionals Not Elsewhere Classified,0.648486316204071,BN2105
Biomedical Engineering,College of Design and Engineering,5,59398220ef9a48bc3fd06195e4cc9301,Manufacturing Engineer (Industrial Engineer),ENGINEERING PROFESSIONALS I,Engineering Professionals Not Elsewhere Classified,0.642773449420929,BN3101A
Biomedical Engineering,College of Design and Engineering,6,b18e61006e054a7a5b946041b6c2c4c8,Research Associate (Environmental Engineering),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.642626941204071,BN4501
Biomedical Engineering,College of Design and Engineering,7,4c9656dc8f45de4e07bd7475d3e270d1,Research Fellow (Mechanobiology Institute),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.6419433355331421,PC4267
Biomedical Engineering,College of Design and Engineering,8,061be890d90462863528d8d65583eabe,Project Officer (Chemical Biology),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.63671875,BN3402
Biomedical Engineering,College of Design and Engineering,9,e888d03286468a4253953f5cc21fda4b,Research Fellow (Cellular Agriculture),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.6351073980331421,BN3301
Biomedical Engineering,College of Design and Engineering,10,c68620e623c6e68f72ffa4ad4af1e2e1,Research Fellow (Chemistry/Materials Science/Chemical Engineering),"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS",Research and Development Managers,0.6341308355331421,BN3301
Chemical Engineering,College of Design and Engineering,1,c787d6b3c51997b2ae2d92129b671a1a,Process Engineer (Process Industry I Chemical Plant I West),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.6607910394668579,CN4119
Chemical Engineering,College of Design and Engineering,2,d1108991d7eda5c8cc1cfc0007f6d377,Process Engineer (Process Industry I Chemical Plant I West),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.6607910394668579,CN4119
Chemical Engineering,College of Design and Engineering,3,087e46b6943f4617b4888136139ce0c3,Process Engineer (Process Industry I Chemical Plant I West),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.6607910394668579,CN4119
Chemical Engineering,College of Design and Engineering,4,c68c2e5e27171411fa146bf64de85dd9,Process Engineer (1 year contract),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.6517089605331421,CN4101
Chemical Engineering,College of Design and Engineering,5,828f198543db95c94472a9a782d867a5,"Quality Chemical Technician (Startup plant, East)",ADMINISTRATIVE ASSOCIATE PROFESSIONALS,Administrative and Related Associate Professionals Not Elsewhere Classified,0.6416991949081421,CN4102
Chemical Engineering,College of Design and Engineering,6,2de8022cea2e06612eaf39705e2899e3,Process Safety Engineer (Operations I Process Engineering),ENGINEERING PROFESSIONALS I,Engineering Professionals Not Elsewhere Classified,0.635546863079071,CN4101
Chemical Engineering,College of Design and Engineering,7,92e8b34bc437917663ccc8e7396700b3,Process Safety Engineer (Operations I Process Engineering),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.635546863079071,CN4101
Chemical Engineering,College of Design and Engineering,8,f9acff383ee3fb2bf3d34ef2713f3dc8,Process Safety Engineer (Operations I Process Engineering),ENGINEERING PROFESSIONALS I,Industrial and Production Engineers,0.635546863079071,CN4101
Chemical Engineering,College of Design and Engineering,9,7dc57161b46429b12a781c229223e42b,Chemical engineering / CHEMICAL ENGINEERING TECHNICIAN,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS I,Chemical Engineering Technicians,0.633740246295929,CN1101A
Chemical Engineering,College of Design and Engineering,10,b7869908d90b8b302a9b1f460285109f,Chemical Engineer (Material Planning I Operations I Safety),ENGINEERING PROFESSIONALS I,Chemical Engineers,0.632861316204071,CN4101
Civil Engineering,College of Design and Engineering,1,c165da3aad4f1bbffaa8a6c6b92a4f42,Civil & Structural Engineer,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS I,Civil Engineering Technicians,0.7034667730331421,CE3166
Civil Engineering,College of Design and Engineering,2,55dba0b2fe5be8759b4b403ec9b28e94,Senior/ Civil & Structural Engineer,ENGINEERING PROFESSIONALS I,Civil Engineers,0.689404308795929,CE3155B
Civil Engineering,College of Design and Engineering,3,62485fb469616329688067462b1d4f49,CIVIL ENGINEER,ENGINEERING PROFESSIONALS I,Civil Engineers,0.68408203125,CE3165
Civil Engineering,College of Design and Engineering,4,fdfb539794fd9dccfc3653edda3af09e,CIVIL ENGINEER,ENGINEERING PROFESSIONALS I,Civil Engineers,0.68408203125,CE3165
Civil Engineering,College of Design and Engineering,5,a3f0edcb592fa6d3b798820c90bef7b7,Engineer (Civil & Structural),ENGINEERING PROFESSIONALS I,Civil Engineers,0.678662121295929,CE3165
Civil Engineering,College of Design and Engineering,6,4929ccc0b020d0fbfd901fe5913bba9d,"Civil, Structural and Geotechnical Design Engineer",ENGINEERING PROFESSIONALS I,Civil Engineers,0.676513671875,CE3166
Civil Engineering,College of Design and Engineering,7,02735f2eb8a2989ac165e2fa33d09d93,"Civil & Structural Engineer (Main Con, Tender)",ENGINEERING PROFESSIONALS I,Civil Engineers,0.6754394769668579,CE3166
Civil Engineering,College of Design and Engineering,8,a866cdee470da038acfeeb53f009a765,"Civil & Structural Engineer (Main Con, Tender)",ENGINEERING PROFESSIONALS I,Civil Engineers,0.6754394769668579,CE3166
Civil Engineering,College of Design and Engineering,9,8191617ff02665cdc50da305c89ab27f,"Civil & Structural Engineer (Main Con, Tender)",ENGINEERING PROFESSIONALS I,Civil Engineers,0.6754394769668579,CE3166
